Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,18,1215,950,589,86,216,0,49,632,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts,18,1215,950,589,86,216,0,49,632,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Controllers,8,713,551,328,51,127,0,35,544,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Controllers\UI,5,545,420,245,45,101,0,24,478,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Controllers\UI\Inventory,4,509,391,228,44,94,0,24,478,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Editors,3,85,63,46,2,20,0,2,10,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Enum,1,5,4,1,0,1,0,0,0,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\Generators,1,39,31,20,2,8,0,0,0,0,0
C:\Users\Cepe6\Documents\Craft The Magic\Assets\_Scripts\ScriptableObjects,1,10,8,5,0,2,0,0,0,0,0
